show_id,type,title,director,cast,country,release_year,rating,duration,genres
s1978,Movie,Kabadadaari,Pradeep Krishnamoorthy,"Sibi Sathyaraj, Nanditha Swetha, Nasser, JP",India,2021,16+,137 min,Suspense
s2005,Movie,Joni,James F. Collier,"Joni Eareckson Tada, Bert Remsen, Katherine DeHetre, Cooper Huckabee, John Milford, Michael Mancini",United States,1979,PG,112 min,Drama
s2080,Movie,Ishqeria,Prerna Wadhawan,"Neil Nitin Mukesh, Richa Chadha, Manish Anand, Gurbani, Juby Devasia",India,2018,13+,118 min,"Comedy, Drama, International"
s2081,Movie,Ishq,Anuraj Manohar,"Shane Nigam, Ann Sheethal, Shine Tom Chacko, Lenoa Lishoy",India,2019,13+,133 min,"Drama, International, Suspense"
s2082,Movie,Ishaqzaade,Habib Faisal,"Arjun Kapoor, Parineeti Chopra",India,2012,PG,132 min,International
s2096,Movie,Instant Death,Ara Paiaya,Lou Ferrigno,United Kingdom,2017,18+,84 min,Action
s2113,Movie,Inconceivable,Jonathan Baker,"Nicolas Cage, Gina Gershon, Faye Dunaway, Nicky Whelan, Natalie Eva Marie","United Kingdom, United States",2017,R,106 min,Suspense
s2185,Movie,Hostile Border,"Michael Dwyer, Kaitlin McLaughlin","Veronica Sixtos, Roberto Urbina, Julio Cedillo, Jorge A. Jimenez, Jesse Garcia, Maria Del Carmen Farias",United States,2016,R,84 min,"Action, Drama, Western"
s2193,Movie,Honest Thief,Mark Williams,"Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney",United States,2020,PG-13,99 min,"Action, Suspense"
s2222,Movie,Hero,P.S. Mithran,"Sivakarthikeyan, Arjun Sarja, Abhay Deol, Kalyani Priyadarshan, Ivana",India,2019,16+,159 min,"Action, Drama, International"
s2229,Movie,Hello Guru Prema Kosame,Trinadha Rao Nakkina,"Ram Pothineni, Anupama Parmeshwaran",India,2018,13+,136 min,"International, Romance"
s2249,Movie,Harold and Maude,Hal Ashby,"Ruth Gordon, Bud Cort, Tom Skerritt",United States,1971,PG,92 min,"Comedy, Drama"
s2274,Movie,Gumnaami - Hindi,Srijit Mukherji,"Prosenjit Chatterjee, Anirban Bhattacharya, Tanusree Chakraborty",India,2020,13+,139 min,"Drama, Suspense"
s2276,Movie,Gulabo Sitabo (4K UHD),Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava",India,2020,16+,125 min,International
s2292,Movie,Green is Gold,Ryon Baxter,"Jimmy Baxter, Ryon Baxter, David Fine, Shelley Mitchell, Ian Mcdavid, Liz Clare",United States,2016,R,82 min,"Arts, Entertainment, and Culture, Drama, Young Adult Audience"
